X,Y,Z
28.99745982642393,41.2300505963064,70
28.99745937029226,41.23001752112182,70
28.99748706783121,41.22954040532391,70
28.9974799808017,41.22917070717026,70
28.99757443396955,41.22734066351778,78
28.9976043312964,41.22719289414744,78
28.99774716229437,41.22626542185667,52
28.99795335677192,41.22552266112557,54
28.99803765027836,41.22514133950018,54
28.9980337613701,41.22500575032203,54
28.99811681687933,41.22463315200523,33
28.99816969264712,41.22434809262544,33
28.99824473533412,41.2238305634224,33
28.99828147024859,41.22321928132726,33
28.99833899914861,41.22251595439618,68
28.99835120867878,41.22217539390254,68
28.99833286191469,41.22181283417808,68
28.99834052509251,41.22141607786549,68
28.9983327784034,41.22071760938988,135
28.99828468519966,41.21994786426942,135
28.99822788556518,41.21941201538491,135
28.9981101406307,41.21917731102945,135
28.99793563449791,41.21879659208738,135
28.99757958934845,41.21843387805693,138
28.99721338042185,41.21870194916877,138
28.99702966896434,41.21895096146078,125
28.99681677173865,41.21929472224165,125
28.99668255190775,41.21969735510292,125
28.99651766931045,41.22015359706123,125
28.99613199318739,41.2224258392743,68
28.9956844857777,41.2243635432099,73
28.99540018450038,41.22589566653849,54
28.99532792100058,41.22624376451693,54
28.99532237058885,41.2264992762055,54
28.99525173417171,41.22677140020259,54
28.99520908625531,41.22724425161862,77
28.99520232826347,41.22755656594725,77
28.99529640647243,41.22782082850976,77
28.99555755069434,41.22812748085524,77
28.99615324089638,41.22869893144824,78
28.99700254290561,41.22927902865479,70
28.99807019490355,41.22947398264872,74
28.99845051370412,41.22954859664213,74
28.99883310646436,41.22966040255799,74
28.9992175281528,41.22979601496767,74
28.99943172210959,41.22996405399296,74
28.9995066436552,41.23007985249756,74
28.99949800122049,41.22987766551577,74
28.99948281168694,41.22955232095944,74
28.99945070974919,41.22894194255397,63
28.99946770864776,41.22810039982149,63
28.99953740962253,41.22484407060535,33
28.99944217869721,41.22332520285986,33
28.9981752226714,41.22361174939753,33
28.99811527270393,41.2236491100857,33
28.99624201004124,41.22431276148438,48
29.00024376965178,41.22459501855662,34
28.99805055514623,41.22140335783943,68
29.00031689673759,41.21970770293053,107
28.99776664118769,41.22326327989114,48
28.99791370110631,41.22647687282015,52
